"Y"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"
0	14	21.66	7.02	9.59	74.71	61.11	86.32	7.4	1014.38	-0.36	3.76	3.76	10.48	23.1	29.64	18.02	17.56	74.16	59.9	86.52	8.78	1008.15	263.02	5.53	3.84	10.94	20.7533333333333	13.3566666666667	81.53	68.52	-2.14	1017.14	23.7766666666667	14.73	78.2433333333333	57.7833333333333	2.65	1012.58333333333	25.325	16.87	71.545	52.925	5.18	1013.705	28.99	22.94	83.936	73.666	438.83	1009.634
1	13.8	19.25	7.79	9.26	76.15	67.5	81.24	8.29	1017.59	-4.07	5.52	4.25	3.75	23.65	28.59	19.51	18.89	77.61	60.27	94.71	10.68	1009.76	55.16	6.54	3.96	9.23	20.6233333333333	13.01	81.04	71.1366666666667	11.95	1014.89666666667	23.0133333333333	16.2433333333333	81.6733333333333	67.0566666666667	29.28	1011.53333333333	26.47	19.355	60.69	54.5	0.3	1011.6	29.918	24.316	87.842	79.556	234.95	1008.692
1	12.93	20	5.18	10.23	68.57	59.84	80.57	7.98	1016.23	1.06	3.94	3.52	11.6	24.97	31.31	20.2	20.85	77.05	64.31	87.95	8.91	1006.64	188.88	6.09	4.21	12.03	24.6566666666667	14.1966666666667	72.3766666666667	60.5166666666667	1.06	1013.07	23.4266666666667	13.6066666666667	67.04	52.93	1.01	1013.55333333333	25.515	17.735	41.95	37.37	-0.43	1010.47	30.158	24.564	86.272	76.174	547.65	1008.082
0	9.95	20.18	2.4	1.99	59.77	46.73	73.5	9.23	1017.34	0.06	1.57	1.84	12.78	21.87	27.74	17.05	17.1	77.03	61.31	89.76	8.69	1010.2	70.21	5.76	4.62	10.07	21.3166666666667	12.7866666666667	75.6366666666667	63.3233333333333	0.78	1013.41	24.9333333333333	16.35	71.7366666666667	59.28	-0.53	1013.64	23.985	16.92	64.965	56.86	1.03	1014.48	27.644	21.892	87.092	77.914	197.58	1009.692
0	14	21.66	7.02	9.59	74.71	61.11	86.32	7.4	1014.38	-0.36	3.76	3.76	10.48	25.43	32.13	19.2	16.55	67.73	55.41	81.32	9.26	1007.62	34.51	4.35	2.98	10.43	20.7533333333333	13.3566666666667	81.53	68.52	-2.14	1017.14	23.7766666666667	14.73	78.2433333333333	57.7833333333333	2.65	1012.58333333333	25.325	16.87	71.545	52.925	5.18	1013.705	29.326	22.968	80.434	76.32	152.55	1008.446
0	11.82	21.01	4.73	5.73	65.55	56.27	76.47	10.32	1015.21	0	2.03	2.1	11.28	24.24	30.57	19.79	18.85	73.85	62.39	84.56	11.68	1006.37	65.12	4.93	3.72	11.09	20.6633333333333	12.1733333333333	74.9533333333333	64.46	1.57	1016.39333333333	22.3933333333333	12.9166666666667	59.37	44.02	0.81	1016.98333333333	27.245	18.2	62.755	53.535	10.6	1011.33	26.354	20.87	87.368	77.388	168.1	1010.354
0	11.48	18.18	6.02	8.26	78.93	60.99	90.1	8.35	1017.44	21.61	3.92	4.07	6.26	25.06	31.4	20.12	18.94	71.69	62.4	83.7	10.23	1007.18	40.56	5.4	3.54	12	20.2266666666667	11.9866666666667	79.4166666666667	70.4933333333333	1.89	1016.68333333333	25.81	15.9633333333333	71.58	56.5266666666667	1.05	1014.17	27.505	19.455	73.125	64.595	7.59	1009.58	29.19	23.364	87.86	77.752	246.17	1009.004
0	10.72	19.69	3.82	4.19	62.06	49.37	74.65	11.62	1017.43	0.11	2.49	1.92	6.99	24.48	30.46	19.92	20.19	80.09	71.02	90.37	11.03	1006.98	71.43	5.69	4.35	12.65	18.6666666666667	11.94	84.0966666666667	71.6766666666667	1.48	1014.67666666667	24.4	16.3666666666667	71.8833333333333	60.3866666666667	7.76	1014.24333333333	22.81	16.335	68.08	63.73	11.89	1014.25	29.868	24.016	87.738	78.422	337.4	1007.14
1	14.15	20.23	8.02	6.83	64.88	44.56	82.56	9.09	1017.86	57.8	5.39	4.59	10.02	26.64	32.84	22.48	20.46	69.95	61.82	83.56	13.82	1009.21	54.2	4.86	3.87	10.92	21.87	13.65	80.0033333333333	62.7033333333333	5.53	1014.99	24.7766666666667	17.4933333333333	84.1033333333333	64.8533333333333	35.39	1011.26	27.925	20.125	58.695	53.71	0.45	1012.325	29.484	24.086	84.838	73.974	191.69	1010.046
0	13.67	19.11	9.17	9.14	77.3	65.6	94.42	9.34	1017.72	28.42	3.9	4.56	5.57	26.93	33.35	21.62	19.93	69.7	59.36	80.22	13.77	1007.96	42.13	4.07	3.08	12.93	20.6633333333333	13.7133333333333	86.02	66.9866666666667	2.85	1016.75	27.03	17.9533333333333	70.6666666666667	52.6533333333333	0.62	1014.15333333333	28.81	21.14	75.815	63.06	12.1	1009.94	31.508	25.522	86.456	74.836	233.95	1008.178
